Grapheme	GraphFrequency	WordFrequency	Difference
!	560	560	0
%	1	1	0
(	329	329	0
)	329	329	0
:	8843	8843	0
;	13854	13854	0
?	3090	3090	0
[	4	4	0
]	4	4	0
‘	19	19	0
’	12	12	0
“	98	98	0
”	98	98	0
9	6	4	2
8	5	2	3
,	66403	66394	9
.	28134	28120	14
5	18	3	15
3	22	5	17
4	20	1	19
1	31	5	26
2	44	12	32
Ò	2494	2445	49
Ō	1099	1042	57
O	112	2	110
Ā	529	10	519
I	5304	562	4742
A	7543	11	7532
ë	22540	1	22539
ō	22717	6	22711
ò	38428	12380	26048
ī	35444	1	35443
ū	56423	1	56422
u	76793	2014	74779
e	123266	5067	118199
i	216784	13931	202853
a	279532	10	279522
ö	348933	10	348923
