Grapheme	GraphFrequency	WordFrequency	Difference
!	190	190	0
(	34	34	0
)	34	34	0
,	15509	15509	0
.	7709	7709	0
:	558	558	0
;	1394	1394	0
?	1000	1000	0
‘	422	422	0
“	2146	2146	0
”	1921	1921	0
—	121	119	2
Â	12	9	3
’	1059	422	637
â	1678	861	817
O	1602	83	1519
I	1660	30	1630
Y	2315	601	1714
A	2803	614	2189
o	36609	1186	35423
i	49677	4181	45496
e	54170	7	54163
y	64724	7041	57683
a	63474	4664	58810
