Grapheme	GraphFrequency	WordFrequency	Difference
!	279	279	0
(	1	1	0
)	1	1	0
.	8648	8648	0
:	2056	2056	0
;	963	963	0
[	2	2	0
]	2	2	0
«	1842	1842	0
·	1207	1207	0
»	1962	1962	0
·	28	28	0
–	15	15	0
—	112	112	0
’	2582	2582	0
“	278	278	0
”	279	279	0
,	12515	12512	3
Ή	119	26	93
Η	323	209	114
Ο	1104	832	272
Ν	346	9	337
Ό	828	15	813
Σ	925	76	849
Μ	963	17	946
Ε	1162	2	1160
Τ	1210	1	1209
Α	2005	1	2004
Θ	2134	3	2131
ή	8635	265	8370
θ	10393	91	10302
η	20987	1261	19726
ό	20255	134	20121
μ	24293	233	24060
σ	36055	789	35266
ν	50298	195	50103
τ	64339	88	64251
ο	68682	3505	65177
