Grapheme	GraphFrequency	WordFrequency	Difference
!	8399	8399	0
(	11640	11640	0
)	11641	11641	0
,	74327	74327	0
/	19	19	0
:	16069	16069	0
;	11045	11045	0
=	2821	2821	0
?	3219	3219	0
[	196	196	0
]	196	196	0
«	7029	7029	0
»	7009	7009	0
—	3121	3121	0
…	9	9	0
‹	1667	1667	0
›	1681	1681	0
9	52	3	49
8	103	5	98
7	146	4	142
6	155	3	152
4	182	7	175
3	195	4	191
5	222	8	214
2	349	4	345
1	377	6	371
-	774	196	578
.	24619	22833	1786
O	2668	178	2490
I	5894	1	5893
T	9381	1	9380
V	9671	53	9618
B	12504	20	12484
A	14723	3	14720
z	41300	19	41281
o	106512	308	106204
g	110609	122	110487
h	211631	90	211541
n	447888	1	447887
