Grapheme	GraphFrequency	WordFrequency	Difference
!	1021	1021	0
(	1	1	0
)	1	1	0
?	1102	1102	0
[	2	2	0
]	2	2	0
።	9801	9801	0
፤	2092	2092	0
፥	1302	1302	0
‘	413	413	0
’	407	407	0
“	2301	2301	0
”	1954	1954	0
፡	3	2	1
ꬑ	91	80	11
ꬓ	47	3	44
ጮ	214	112	102
ꬋ	382	239	143
ꬆ	677	347	330
ኑ	1830	962	868
ሞ	950	1	949
ቂ	1042	3	1039
ዱ	1155	2	1153
ዋ	1322	5	1317
ቢ	1374	12	1362
ሌ	1401	7	1394
ዮ	1587	3	1584
ጎ	1633	5	1628
ዉ	1662	2	1660
ዪ	1774	2	1772
ሜ	1977	4	1973
ሶ	2036	49	1987
ቦ	2031	2	2029
ቶ	2209	1	2208
ሺ	2311	64	2247
ያ	2414	12	2402
ኤ	2625	36	2589
ሄ	3582	871	2711
ሚ	2820	7	2813
ዶ	2878	3	2875
ኦ	3213	15	3198
ባ	4554	1266	3288
ዬ	3834	1	3833
ዎ	4355	7	4348
ጋ	4433	24	4409
ኔ	5951	1064	4887
ሃ	5448	409	5039
ማ	8267	6	8261
ጊ	9771	168	9603
ኣ	11545	4	11541
ዳ	11888	1	11887
ና	12708	298	12410
ታ	14921	2228	12693
ስ	16869	1	16868
ይ	17741	2	17739
