Grapheme	GraphFrequency	WordFrequency	Difference
!	178	178	0
(	30	30	0
)	30	30	0
.	9865	9865	0
‘	395	395	0
’	394	394	0
“	1849	1849	0
”	1729	1729	0
─	1	1	0
깰	1	1	0
꽉	1	1	0
뗄	1	1	0
및	3	3	0
밴	3	3	0
쉰	1	1	0
쉴	2	2	0
쫙	3	3	0
펼	2	2	0
흰	19	19	0
댄	2	1	1
센	3	2	1
쏠	2	1	1
짠	2	1	1
꼭	10	8	2
딱	8	6	2
맨	10	8	2
쓴	15	13	2
핀	3	1	2
닻	4	1	3
빈	5	2	3
큰	214	211	3
?	1000	996	4
갓	5	1	4
딴	5	1	4
9	43	38	5
뒷	7	2	5
8	60	54	6
꿀	7	1	6
봐	15	9	6
셀	7	1	6
얘	7	1	6
닭	13	6	7
뜰	9	1	8
왜	94	86	8
뿔	10	1	9
털	12	3	9
흠	17	8	9
7	82	72	10
뉘	11	1	10
옛	28	18	10
탈	11	1	10
씁	12	1	11
푼	12	1	11
셈	14	2	12
곧	135	122	13
좀	32	19	13
뱀	16	2	14
짜	17	2	15
현	16	1	15
:	27	11	16
또	361	345	16
6	104	87	17
넉	19	1	18
셋	24	1	23
쓸	30	7	23
낼	27	3	24
값	30	5	25
썩	29	3	26
펴	30	2	28
될	230	201	29
딸	32	3	29
볼	59	30	29
5	137	107	30
술	39	8	31
줄	139	108	31
첫	39	5	34
겉	36	1	35
등	37	1	36
칼	38	2	36
밭	38	1	37
,	1137	1099	38
긴	45	6	39
년	68	29	39
척	40	1	39
둔	53	13	40
몇	95	53	42
벗	44	1	43
즉	44	1	43
낸	49	3	46
3	245	198	47
낮	54	6	48
점	52	1	51
4	191	137	54
설	60	5	55
본	121	63	58
걸	64	4	60
밤	75	13	62
씨	64	2	62
힘	69	6	63
채	78	13	65
칠	72	7	65
2	254	188	66
써	77	11	66
팔	70	4	66
탄	78	10	68
빵	88	17	71
윗	72	1	71
민	73	1	72
뒤	81	8	73
창	75	2	73
돈	78	4	74
밀	84	7	77
별	81	3	78
얼	85	1	84
뿐	90	5	85
빛	100	13	87
석	94	6	88
떨	91	1	90
책	92	1	91
잘	199	105	94
맞	97	1	96
준	130	34	96
향	97	1	96
둘	119	22	97
벌	101	2	99
짐	100	1	99
추	101	1	100
목	102	1	101
번	126	25	101
차	110	7	103
강	105	1	104
켜	108	2	106
혀	107	1	106
반	111	4	107
섬	110	2	108
먼	122	4	118
막	121	1	120
밖	133	5	128
발	158	30	128
눈	149	20	129
침	133	2	131
옷	140	6	134
백	141	4	137
찬	141	3	138
쳐	140	2	138
뜻	143	3	140
참	158	15	143
질	158	2	156
산	173	13	160
개	167	6	161
병	166	4	162
온	354	190	164
능	167	1	166
1	198	31	167
권	170	1	169
왕	190	19	171
올	224	51	173
잡	175	1	174
피	182	6	176
터	179	1	178
악	181	1	180
키	183	1	182
갈	230	43	187
단	211	6	205
갔	208	2	206
땅	220	13	207
된	319	108	211
떠	215	1	214
몸	224	10	214
약	233	18	215
판	221	5	216
후	310	94	216
군	220	2	218
네	444	221	223
달	235	12	223
곳	245	21	224
새	274	49	225
럼	235	2	233
길	239	1	238
파	245	1	244
양	264	12	252
타	259	5	254
편	256	1	255
통	259	1	258
남	261	2	259
간	277	5	272
열	299	23	276
배	297	14	283
더	517	231	286
손	298	2	296
천	311	12	299
앞	310	4	306
금	321	3	318
집	349	31	318
난	344	21	323
귀	341	15	326
형	339	2	337
동	345	1	344
중	375	30	345
돌	358	7	351
저	390	33	357
종	373	15	358
각	390	26	364
법	367	2	365
날	417	50	367
베	380	1	379
진	389	5	384
늘	397	8	389
런	400	2	398
비	414	1	413
울	424	3	421
죄	469	46	423
불	437	10	427
선	447	14	433
냐	440	1	439
속	500	5	495
알	538	16	522
영	532	2	530
할	764	212	552
원	559	2	557
못	590	15	575
명	632	16	616
야	624	1	623
물	657	12	645
살	689	34	655
함	664	2	662
문	709	13	696
상	702	2	700
두	875	170	705
안	815	48	767
구	769	1	768
소	788	2	786
위	801	1	800
전	809	5	804
세	915	40	875
까	885	2	883
십	904	1	903
무	926	2	924
데	968	18	950
되	958	1	957
성	1023	21	1002
든	1030	5	1025
음	1029	1	1028
바	1045	1	1044
만	1090	1	1089
때	1437	310	1127
않	1342	2	1340
마	1350	2	1348
입	1351	3	1348
인	1354	4	1350
께	1386	3	1383
제	1452	47	1405
와	1431	13	1418
해	1525	73	1452
모	1571	2	1569
오	1630	1	1629
신	1651	5	1646
일	1708	62	1646
보	1689	1	1688
과	1849	6	1843
대	1876	3	1873
내	2444	478	1966
주	2200	166	2034
한	2634	436	2198
있	2250	2	2248
분	2429	10	2419
수	2922	405	2517
예	2573	18	2555
말	2729	28	2701
어	2910	1	2909
여	3104	3	3101
라	3117	4	3113
시	3335	2	3333
를	3513	3	3510
자	3572	20	3552
람	3662	1	3661
로	4082	7	4075
도	4154	2	4152
것	4373	44	4329
님	4500	2	4498
서	4708	36	4672
의	4836	10	4826
게	4988	2	4986
지	5313	16	5297
사	5468	7	5461
은	5989	4	5985
들	6294	1	6293
나	6660	54	6606
가	6725	29	6696
그	8229	1159	7070
고	7409	45	7364
에	7858	6	7852
는	7992	34	7958
을	9244	17	9227
하	11397	3	11394
이	12901	976	11925
다	12212	276	11936
