Grapheme	GraphFrequency	WordFrequency	Difference
!	1061	1061	0
(	34	34	0
)	34	34	0
.	13624	13624	0
:	80	80	0
;	64	64	0
?	1089	1089	0
[	12	12	0
]	12	12	0
‘	386	386	0
’	373	373	0
“	2189	2189	0
”	1950	1950	0
,	15991	15984	7
U	320	47	273
E	340	2	338
A	1940	957	983
Á	2067	263	1804
I	4882	249	4633
e	37924	2	37922
u	67730	400	67330
á	106822	4416	102406
i	132820	10294	122526
a	144623	12150	132473
