Grapheme	GraphFrequency	WordFrequency	Difference
!	1872	1872	0
(	154	154	0
)	154	154	0
*	1	1	0
,	51102	51102	0
.	30644	30644	0
:	8714	8714	0
;	6138	6138	0
?	2768	2768	0
[	220	220	0
]	220	220	0
¡	1872	1872	0
«	1553	1553	0
»	1553	1553	0
¿	2769	2769	0
—	5674	5674	0
“	12	12	0
”	12	12	0
…	6	6	0
O	673	31	642
Y	2830	2021	809
A	7353	528	6825
E	9142	10	9132
y	36022	24869	11153
u	125686	7	125679
o	274495	950	273545
a	339904	21139	318765
e	395307	444	394863
