Grapheme	GraphFrequency	WordFrequency	Difference
!	484	484	0
(	114	114	0
)	114	114	0
,	28149	28149	0
.	10562	10562	0
:	1694	1694	0
;	2113	2113	0
?	1314	1314	0
—	58	58	0
―	2	2	0
‘	465	465	0
“	2746	2746	0
”	2520	2520	0
O	518	15	503
’	1659	539	1120
U	1837	248	1589
E	4755	47	4708
I	6112	279	5833
o	69296	1	69295
u	76881	2489	74392
e	122616	1914	120702
i	159290	14879	144411
