Grapheme	GraphFrequency	WordFrequency	Difference
!	91	91	0
(	44	44	0
)	44	44	0
.	10541	10541	0
:	62	62	0
;	38	38	0
?	771	771	0
[	15	15	0
]	17	17	0
‘	2332	2332	0
’	1992	1992	0
“	380	380	0
”	379	379	0
,	7509	7504	5
9	6	1	5
7	86	80	6
8	12	6	6
6	18	9	9
5	12	1	11
O	379	30	349
U	727	189	538
I	775	81	694
E	962	1	961
A	2181	305	1876
t	34923	1	34922
m	35033	1	35032
e	58502	844	57658
u	63676	3051	60625
o	61939	748	61191
i	108807	9200	99607
a	218979	6415	212564
