Grapheme	GraphFrequency	WordFrequency	Difference
(	119	119	0
)	119	119	0
.	20682	20682	0
‘	395	395	0
’	395	395	0
“	1926	1926	0
”	1926	1926	0
ฟ	458	1	457
ผ	2119	2	2117
โ	3690	12	3678
ส	6481	3	6478
ป	6961	4	6957
ด	8349	1	8348
จ	10068	18	10050
ค	11413	14	11399
ใ	11577	1	11576
ไ	14658	1	14657
ย	14918	53	14865
พ	17091	2	17089
อ	38064	4	38060
