Grapheme	GraphFrequency	WordFrequency	Difference
!	2865	2865	0
(	8	8	0
)	10	10	0
;	1916	1916	0
?	3126	3126	0
_	1	1	0
-	1257	1255	2
.	42208	42206	2
:	2800	2798	2
�	12	4	8
,	44795	44760	35
8	65	1	64
5	144	1	143
3	148	1	147
O	5858	1261	4597
›	17735	1755	15980
‹	21152	2052	19100
o	58547	739	57808
