Grapheme	GraphFrequency	WordFrequency	Difference
!	415	415	0
(	87	87	0
)	87	87	0
:	55	55	0
?	1000	1000	0
[	21	21	0
।	11403	11403	0
‘	389	389	0
’	389	389	0
“	1837	1837	0
”	1837	1837	0
]	21	19	2
,	6445	6391	54
ऐ	636	124	512
-	2571	13	2558
ए	6065	2	6063
आ	6872	378	6494
न	12652	1333	11319
